title,combined
Area 88,"Action, Adventure, Drama, Romance Military Pierrot ADV Films, Central Park Media, Discotek Media"
Ookami to Koushinryou II: Holo no Short Anime,"Fantasy Adult Cast Brain's Base, Marvy Jack Movic, Kadokawa Pictures Japan Funimation"
Muumindani no Suisei,"Adventure, Fantasy, Slice of Life Visual 80 Telescreen"
Neppuu Kairiku Bushi Road,"Action, Fantasy, Sci-Fi Mecha Kinema Citrus, Orange Bandai Visual, Nitroplus, Bushiroad, Bushiroad Music"
Jashin-chan Dropkick Episode 12,"Comedy, Supernatural CGDCT, Gag Humor, Mythology Nomad BookLive, ibis Capital Partners, Global Solutions"
Kaleido Star: Aratanaru Tsubasa - Extra Stage,"Adventure, Comedy, Drama Performing Arts Gonzo HAL Film Maker ADV Films, Funimation"
Hana to Alice: Satsujin Jiken,"Award Winning, Drama, Mystery Steve N' Steven, Rockwell Eyes Pony Canyon, Nippon Television Network, Shogakukan GKIDS"
Hetalia: The Beautiful World Specials,"Comedy Anthropomorphic, Historical, Parody Studio Deen Frontier Works Funimation"
Metal Fight Beyblade 4D,"Adventure, Sports SynergySP TV Tokyo, d-rights Nelvana"
Girls & Panzer Movie Specials,"CGDCT, Military, School Actas"
Igano Kabamaru,"Action, Adventure, Comedy, Romance School Group TAC TOHO"
Tokyo Majin Gakuen Kenpuuchou: Tou,"Action, Drama, Horror, Supernatural Martial Arts, School AIC Spirits, BeSTACK Trinity Sound, Imagine ADV Films, Funimation"
Jungle wa Itsumo Hare nochi Guu Final,"Award Winning, Comedy, Slice of Life Gag Humor Shin-Ei Animation Bandai Visual"
Dagashi Kashi 2,"Comedy, Gourmet Romantic Subtext Tezuka Productions Pony Canyon, TBS, Shogakukan, Lawson, Pony Canyon Enterprises Funimation"
Slam Dunk (Movie),"Sports School, Team Sports Toei Animation"
JK Bitch ni Shiboraretai,Hentai T-Rex Lune-Pictures
Nakanohito Genome [Jikkyouchuu],"Adventure, Drama, Mystery Video Game SILVER LINK. Lantis, AT-X, Docomo Anime Store, Kadokawa Media House, Kadokawa, Muse Communication, Bandai Namco Arts, Bit Promotion Funimation"
"""Bungaku Shoujo"" Memoire","Drama, Romance School Production I.G Lantis, Pony Canyon, Enterbrain, Kadokawa Contents Gate, T.O Entertainment"
Densetsu Kyojin Ideon: Hatsudou-hen,"Drama, Sci-Fi Mecha, Space Sunrise Maiden Japan"
Seikatsu Shuukan The Animation,Hentai Seven Pink Pineapple
Shinryaku! Ika Musume Specials,Comedy Anthropomorphic Diomedéa Sentai Filmworks
Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,"Action, Mystery, Suspense High Stakes Game, Strategy Game Sunrise NHK Sentai Filmworks"
Fate/Grand Order: First Order,"Action, Fantasy, Supernatural Time Travel Lay-duce Aniplex, Notes Aniplex of America"
Blue Gender,"Action, Adventure, Drama, Horror, Sci-Fi Gore, Mecha, Military, Space, Survival AIC Youmex, Toshiba EMI Funimation"
Kimagure Orange☆Road: Ano Hi ni Kaeritai,"Comedy, Drama, Romance Pierrot AnimEigo, Discotek Media"
Uchuu no Stellvia,"Action, Romance, Sci-Fi Mecha, Space Xebec Starchild Records, TV Tokyo Music Discotek Media, Geneon Entertainment USA"
Saiyuuki Gaiden,"Action, Adventure, Drama, Fantasy Mythology Anpro TV Tokyo, Dentsu, Frontier Works, Hakuhodo DY Media Partners Sentai Filmworks"
Cyborg 009: The Cyborg Soldier,"Action, Adventure, Sci-Fi Japan Vistec TV Tokyo, Shaft, Avex Entertainment, Brain's Base Sony Pictures Entertainment, Discotek Media"
Slayers Specials,"Adventure, Comedy, Fantasy J.C.Staff Kadokawa Shoten, Marubeni ADV Films"
One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,"Action, Adventure, Fantasy Toei Animation"
Kuroshitsuji Recap,"Action, Comedy, Mystery, Supernatural Historical, Mythology A-1 Pictures"
Koiito Kinenbi The Animation,Hentai T-Rex Pink Pineapple
Drifters: The Outlandish Knight,"Action, Adventure, Comedy, Fantasy Adult Cast, Gore, Historical, Isekai, Military, Samurai Hoods Entertainment Rakuonsha, NBCUniversal Entertainment Japan, Shounen Gahousha"
Solty Rei,"Action, Sci-Fi Super Power Gonzo, AIC TV Asahi, Sotsu Music Publishing Funimation"
Pokemon Movie 23: Koko,"Action, Adventure, Comedy, Fantasy Strategy Game OLM TV Tokyo, Shogakukan-Shueisha Productions, JR East Marketing & Communications"
Wu Shan Wu Xing: Xichuan Huan Zi Lin,"Action, Fantasy, Supernatural Historical, Martial Arts Samsara Animation Studio bilibili, Nice Boat Animation"
Oushitsu Kyoushi Heine Movie,Comedy Historical Tear Studio Sotsu
Doraemon Movie 07: Nobita to Tetsujin Heidan,"Adventure, Comedy, Fantasy Mecha"
Ginga Tetsudou no Yoru,"Award Winning, Drama, Fantasy, Mystery Anthropomorphic, Historical Group TAC Central Park Media, Discotek Media"
Sansha Sanyou,"Comedy, Slice of Life CGDCT, School Doga Kobo AT-X, DAX Production, Houbunsha, TOHO animation, RAY Funimation"
Guilty Crown: Lost Christmas - An Episode of Port Town,"Action, Drama, Sci-Fi Super Power Production I.G Nitroplus"
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,"Action, Adventure, Comedy, Fantasy, Sci-Fi Toei Animation Funimation"
Dramaturgy,Music
Yowamushi Pedal: Limit Break,"Sports Racing TMS Entertainment TV Tokyo, MediaNet, TOHO animation, Akita Shoten, NHK Enterprises"
Kindaichi Shounen no Jikenbo Returns 2nd Season,Mystery Toei Animation Yomiuri Telecasting
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!","Adventure, Comedy, Fantasy Isekai, Reincarnation Project No.9 AT-X, Earth Star Entertainment, Avex Pictures, TV Aichi, ABC Animation, MAGNET"
Sasameki Koto,"Comedy, Girls Love School AIC Half H.P Studio, flying DOG"
Yowamushi Pedal: Special Ride,Sports Racing TMS Entertainment TOHO animation
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,"Action, Drama, Fantasy Isekai Maho Film Warner Bros. Japan"
Zetman,"Action, Drama, Horror, Romance, Sci-Fi, Supernatural Gore, Super Power TMS Entertainment TV Asahi, Asatsu DK, YTV, TOHO, Sakura Create, TMS Music VIZ Media, NYAV Post"
Watashi ni Tenshi ga Maiorita! Precious Friends,"Comedy CGDCT Doga Kobo AT-X, flying DOG, Kadokawa Media House, Ichijinsha, Kadokawa, Kadokawa Animation, Sony Music Solutions"
Ao no Exorcist: Shimane Illuminati-hen,"Action, Fantasy Mythology, School Studio VOLN Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Rakuonsha, Shueisha Aniplex of America"
Tiger & Bunny 2,"Action, Comedy, Mystery, Sci-Fi Adult Cast, Super Power Bandai Namco Pictures Bandai Namco Entertainment, Toy's Factory, ADK Marketing Solutions"
IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou,"Action, Comedy, Sci-Fi, Ecchi Harem 8bit Sony Music Communications Sentai Filmworks"
Minami-ke Natsuyasumi,"Comedy, Slice of Life CGDCT feel. Starchild Records"
UFO Robo Grendizer,"Action, Sci-Fi Mecha Toei Animation Fuji TV, Dynamic Planning"
Deatte 5-byou de Battle,"Supernatural, Suspense High Stakes Game, Strategy Game, Super Power, Survival SynergySP, Vega Entertainment Shogakukan-Shueisha Productions, Pony Canyon, Bushiroad, Studio A-CAT, Tokyo MX, Fields, Kansai Telecasting, BS11, Bandai Spirits"
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2","Comedy, Drama, Mystery Adult Cast, Detective, Workplace CloverWorks Aniplex, Capcom Funimation"
Doupo Cangqiong 2nd Season,"Action, Adventure, Fantasy, Romance Historical, Martial Arts, Mythology Motion Magic Tencent Penguin Pictures, China Literature Limited, Bytehoo"
Shinmai Maou no Testament Departures,"Action, Fantasy, Romance, Ecchi Harem, Mythology Production IMS AT-X, Nippon Columbia, KlockWorx, Toranoana, Glovision, Sony PCL, Kadokawa Media House, Sun TV, Kadokawa"
Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa,"Adventure, Sci-Fi Toei Animation"
Saiyuuki Reload: Burial,"Action, Adventure, Drama, Fantasy Mythology Pierrot, Arms Dentsu Discotek Media"
Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Supernatural Super Power, Vampire J.C.Staff TBS, Rondo Robe, Movic Sentai Filmworks, Geneon Entertainment USA"
Koi Kaze,"Drama, Romance Psychological A.C.G.T. Geneon Universal Entertainment, TV Asahi, Rondo Robe Geneon Entertainment USA"
Midara na Ao-chan wa Benkyou ga Dekinai,"Comedy, Romance, Ecchi School SILVER LINK. Mainichi Broadcasting System, Kodansha, DMM pictures Sentai Filmworks"
Super GALS! Kotobuki Ran,"Comedy Pierrot TV Tokyo ADV Films, Nozomi Entertainment"
Asura Cryin',"Action, Fantasy, Sci-Fi Harem, Mecha, School Seven Arcs TV Tokyo, Starchild Records, Raku High Student Council Maiden Japan"
Devilman: Tanjou-hen,"Horror, Sci-Fi, Supernatural Gore, Mythology Oh! Production Triangle Staff, Kodansha, Dynamic Planning, King Records Discotek Media, Manga Entertainment"
Strike Witches: Operation Victory Arrow,"Action, Sci-Fi, Ecchi Military SILVER LINK. Nippon Columbia, KlockWorx, Glovision, Sony PCL, Kadokawa"
Daitoshokan no Hitsujikai,"Romance Harem, School Hoods Entertainment Brave Hearts, DMM.com Labo, TIS Funimation"
Show By Rock!!,"Comedy, Fantasy Isekai, Music Bones Shochiku, Pony Canyon, Sanrio, Tokyo MX, Studio GOONEYS, Docomo Anime Store, Sammy, FuRyu Funimation"
Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Drama, Supernatural Mythology Pierrot Geneon Entertainment USA"
Yuu☆Yuu☆Hakusho: Two Shots/Noru ka Soru ka,"Action, Fantasy Martial Arts, Mythology Pierrot Bandai Visual, Shueisha Funimation"
Zegapain,"Action, Romance, Sci-Fi Mecha Sunrise TV Tokyo, Dentsu, Atelier Musa Bandai Entertainment, Sentai Filmworks"
Saint Seiya: Tenkai-hen Josou - Overture,"Action, Adventure, Fantasy, Sci-Fi Mythology Toei Animation Shueisha"
Ecchi na Oneechan ni Shiboraretai,Hentai T-Rex Lune-Pictures
Kamisama Kazoku,"Comedy, Drama, Fantasy, Romance Toei Animation Animax, Sony Music Entertainment"
Kanashimi no Belladonna,"Avant Garde, Drama Historical Mushi Production Discotek Media, Cinelicious Pics"
.hack//Quantum,"Action, Adventure, Fantasy Video Game Kinema Citrus Bandai Visual, flying DOG, Showgate, BIGLOBE Funimation"
Hatsu Inu The Animation,Hentai Cafe de Jeilhouse Pink Pineapple
Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!,"Comedy, Fantasy, Romance, Ecchi J.C.Staff Geneon Entertainment USA"
Seireitsukai no Blade Dance,"Action, Comedy, Fantasy, Romance, Ecchi Harem, School TNK Genco, Media Factory, Movic, AT-X, Showgate Sentai Filmworks"
Pumpkin Scissors,"Action, Comedy, Drama Military Gonzo, AIC GDH, Sotsu Music Publishing ADV Films, Funimation"
PriPara,"Slice of Life Idols (Female), Music, School Tatsunoko Production, Dongwoo A&E TV Tokyo"
Yeon-ae Halujeon 2,"Romance, Slice of Life LICO, Red Dog Culture House"
Brotherhood: Final Fantasy XV,"Action A-1 Pictures Square Enix, RightTracks"
Touhou Niji Sousaku Doujin Anime: Musou Kakyou,Fantasy Vampire Maikaze
Slow Start,"Comedy CGDCT, School CloverWorks Aniplex, Houbunsha, Kansai Telecasting, Lawson, Kinoshita Group Holdings, Drecom Aniplex of America"
Uchi no Maid ga Uzasugiru!,"Comedy, Girls Love Doga Kobo AT-X, Sony Music Communications, Futabasha, Kadokawa Media House, NTT Plala, Kadokawa"
Negima!?,"Comedy, Fantasy, Romance, Ecchi Harem, School Shaft, GANSIS Funimation, Sentai Filmworks"
Ranma ½: Akumu! Shunmin Kou,"Action, Comedy, Supernatural Magical Sex Shift, Martial Arts Studio Deen Sunrise, Atelier Musa"
Le Chevalier D'Eon,"Mystery, Supernatural Historical Production I.G WOWOW, Shochiku, Kodansha, Sakura Create ADV Films, Funimation"
Aa! Megami-sama! (2011),"Comedy, Romance, Supernatural AIC APPP"
Grisaia no Kajitsu Specials,Ecchi 8bit
Days: Touin Gakuen-sen!,"Sports School, Team Sports MAPPA"
Zombie-Loan,"Action, Horror, Supernatural XEBEC M2 Xebec, Nihon Ad Systems Discotek Media"
Samurai Flamenco,"Action, Comedy, Fantasy Adult Cast, Parody, Super Power Manglobe Aniplex, Dentsu, Movic, Fuji TV, Kyoraku Industrial Holdings, Hobibox, DeNA Aniplex of America"
Mato Seihei no Slave,"Action, Fantasy, Ecchi Harem Seven Arcs Pony Canyon, AT-X, MAGNET, Yostar Sentai Filmworks"
Hayate no Gotoku! Heaven Is a Place on Earth,"Comedy Harem, Parody Manglobe TV Tokyo, Geneon Universal Entertainment, Shogakukan-Shueisha Productions, Half H.P Studio, Shogakukan Music & Digital Entertainment Sentai Filmworks"
Itadaki! Seieki♥ Special,Hentai Peak Hunt Pashmina Kitty Media
Shuumatsu Train Doko e Iku?,"Adventure EMT Squared Movic, AT-X, flying DOG, Tokyo MX, Kadokawa, DAXEL"
No Game No Life Specials,"Comedy, Fantasy, Ecchi Isekai Madhouse Media Factory Sentai Filmworks"
Slayers Return,"Adventure, Comedy, Fantasy J.C.Staff Bandai Visual, Kadokawa Shoten ADV Films"
Kimi no Iru Machi,"Drama, Romance Love Polygon Gonzo TV Tokyo, ZERO-A Nozomi Entertainment"
Kamisama Dolls,"Action, Supernatural Brain's Base TV Tokyo, Shogakukan-Shueisha Productions, Media Factory, Half H.P Studio, AT-X, flying DOG, Sony Music Communications Sentai Filmworks"
Aria the Crepuscolo,"Fantasy, Sci-Fi, Slice of Life Iyashikei J.C.Staff Shochiku"
Yi Ren Zhi Xia,"Action, Supernatural Super Power Namu Animation Haoliners Animation League, Tencent Animation & Comics, Emon"
Shigofumi: Sore kara,"Drama, Fantasy, Suspense Psychological J.C.Staff Bandai Visual, Genco, Lantis, Rakuonsha Sentai Filmworks"
Nekopara OVA,"Comedy, Romance Anthropomorphic lxtl, Felix Film"
Poputepipikku TV Special,"Avant Garde, Comedy Parody Kamikaze Douga AC-Bu Sentai Filmworks"
Tottoko Hamtarou,"Adventure, Comedy Anthropomorphic TMS Entertainment TV Tokyo, Shogakukan-Shueisha Productions, Half H.P Studio VIZ Media"
Slayers Great,"Adventure, Comedy, Fantasy J.C.Staff TV Tokyo, SoftX ADV Films"
Nanatsu no Taizai: Mokushiroku no Yonkishi,"Action, Adventure, Fantasy Telecom Animation Film VAP, Dentsu, TMS Entertainment, TBS, Kodansha, Movic, Sammy, Marui Group, Unlimited Produce by TMS"
Seitokai no Ichizon Lv.2: Watasu Seitokai,"Comedy Harem, Parody, School AIC Sentai Filmworks"
Mahoraba: Heartful Days,"Comedy, Romance Iyashikei, Visual Arts J.C.Staff Starchild Records, TV Tokyo Music Discotek Media"
IS: Infinite Stratos,"Action, Comedy, Romance, Sci-Fi, Ecchi Harem, School 8bit Lantis, Media Factory, TBS, Sony Music Communications, Sakura Create Sentai Filmworks"
Tengen Toppa Gurren Lagann Movie Zenyasai: Viral no Amai Yume,Comedy Gainax
Osomatsu-san 3rd Season,"Comedy Gag Humor, Parody Pierrot TV Tokyo, Dentsu, Rakuonsha, Avex Pictures, Daiichi Shokai"
Super Lovers,"Boys Love, Comedy, Drama Studio Deen DAX Production, Nippon Columbia, Kadokawa Funimation, Crunchyroll"
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,"Drama, Fantasy Mahou Shoujo Studio Gokumi Mainichi Broadcasting System, Pony Canyon, DAX Production"
Quanzhi Fashi V,"Action, Fantasy School Foch Films Tencent Penguin Pictures, China Literature Limited"
Hayate no Gotoku! Can't Take My Eyes Off You,"Comedy Harem, Parody Manglobe TV Tokyo, Geneon Universal Entertainment, Shogakukan-Shueisha Productions Sentai Filmworks"
Tokyo Majin Gakuen Kenpuuchou: Tou Dai Ni Maku,"Action, Drama, Horror, Mystery Martial Arts, School AIC Spirits, BeSTACK ADV Films, Funimation"
Kill Me Baby,"Comedy Gag Humor, School J.C.Staff Pony Canyon, TBS, Magic Capsule Sentai Filmworks"
Kenja no Mago,"Action, Comedy, Fantasy, Romance Isekai, Reincarnation SILVER LINK. Sotsu, Docomo Anime Store, ABC Animation, Kadokawa Funimation"
Golden Kamuy OVA,"Action, Adventure Adult Cast, Historical, Military Geno Studio NBCUniversal Entertainment Japan, Shueisha, Twin Engine"
Kyou no 5 no 2,"Comedy, Ecchi School Shinkuukan, Lilix"
Azumanga Daiou: Gekijou Tanpen,"Comedy CGDCT, Gag Humor, School J.C.Staff Kadokawa Shoten ADV Films"
Tennis no Oujisama: Sonzoku Yama no Hi,Sports Production I.G
Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,"Action, Mystery, Sci-Fi Adult Cast, Detective, Mecha, Military Production I.G"
Tactics,"Mystery, Supernatural Historical, Mythology Studio Deen MediaNet Manga Entertainment"
One Punch Man 2nd Season Commemorative Special,"Action, Comedy Parody, Super Power J.C.Staff VIZ Media"
Mikakunin de Shinkoukei: Mite. Are ga Watashitachi no Tomatteiru Ryokan yo.,"Comedy, Romance Doga Kobo DAX Production, TOHO animation"
Meitantei Conan Magic File 2: Kudou Shinichi Nazo no Kabe to Kuro Lab Jiken,"Adventure, Comedy, Mystery Detective TMS Entertainment"
Tenchi Muyou! Ryououki 3rd Season,"Action, Comedy, Sci-Fi Harem, Space AIC VAP, Nippon Television Network Funimation"
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,"Action, Adventure, Comedy, Fantasy Martial Arts, Super Power Toei Animation Funimation"
Koisuru Boukun,"Boys Love, Comedy, Erotica PrimeTime On-Lead"
Slayers Excellent,"Adventure, Comedy, Fantasy J.C.Staff Bandai Visual ADV Films"
Diamond no Ace: Second Season OVA,"Sports School, Team Sports Production I.G, Madhouse Kodansha"
Cardfight!! Vanguard,"Action Strategy Game TMS Entertainment Dentsu, Sotsu, Sakura Create, Bushiroad"
Gakuen Utopia Manabi Straight!,"Comedy, Slice of Life CGDCT, School ufotable Starchild Records, KlockWorx, ASCII Media Works Discotek Media"
Koro-sensei Quest!,Comedy Lerche Funimation
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,"Adventure, Comedy Magical Sex Shift Studio Deen Fuji TV VIZ Media"
Kyou no 5 no 2 (TV),"Comedy, Ecchi School Xebec Starchild Records, TV Tokyo Music"
Uchi no Kaisha no Chiisai Senpai no Hanashi,"Comedy, Romance Adult Cast, Workplace Project No.9 TV Asahi, Takeshobo, Nagoya Broadcasting Network, Universal Music Japan, DMM.com, Kadokawa Media House, DMM pictures, My Theater D.D., Good Smile Film, Bit grooove promotion, TV Asahi Music, Vobile Japan"
Pretty Rhythm: Rainbow Live,"Sports Idols (Female), Music Tatsunoko Production, Dongwoo A&E TV Tokyo"
Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi Studio Deen Aniplex ADV Films"
"Lupin III: Episode 0 ""First Contact""","Action, Adventure, Comedy, Mystery Adult Cast TMS Entertainment VAP Discotek Media"
Yuru Camp△ Season 2 Specials,"Comedy, Slice of Life CGDCT C-Station Half H.P Studio, MAGES."
Freedom,"Action, Adventure, Sci-Fi Racing, Space Sunrise Bandai Visual, Dentsu Bandai Entertainment, Discotek Media, NYAV Post, Bandai Visual USA"
Otome wa Boku ni Koishiteru,"Comedy, Drama, Romance Crossdressing, School feel. Starchild Records, Dream Force, GANSIS Media Blasters"
Tegamibachi: Hikari to Ao no Gensou Yawa,"Adventure, Fantasy Pierrot"
Bakuten Shoot Beyblade,"Adventure, Comedy, Sports Madhouse TV Tokyo, Yomiko Advertising, d-rights Nelvana, Discotek Media"
Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,"Action, Adventure, Comedy, Supernatural Martial Arts Studio Deen Fuji TV VIZ Media"
Guin Saga,"Adventure, Fantasy Satelight Aniplex Sentai Filmworks"
Huyao Xiao Hongniang: Yue Hong,"Comedy, Romance, Supernatural Historical Haoliners Animation League Tencent Animation & Comics"
Anne Happy♪,"Slice of Life CGDCT, School SILVER LINK. Sotsu, AT-X, KlockWorx, Asmik Ace, Houbunsha, BS Fuji, DIVE II Entertainment, Grooove, Avex Pictures, Crunchyroll, Contents Seed, FuRyu"
Futari wa Precure,"Action, Comedy, Fantasy Mahou Shoujo Toei Animation Asatsu DK, Asahi Production, Asahi Broadcasting 4Kids Entertainment"
Meng Qi Shi Shen,"Comedy, Drama, Gourmet, Romance Historical, Time Travel Wawayu Animation bilibili, China Literature Limited, Yuewen Animation & Comics"
Obey Me!,"Comedy, Fantasy Mythology Colored Pencil Animation Japan Sotsu, Bouncy, Toei Advertising, Colored Pencil Animation Funimation"
One Piece Movie 03: Chinjuu-jima no Chopper Oukoku,"Action, Adventure, Fantasy Toei Animation Fujipacific Music"
Koe de Oshigoto! The Animation,"Comedy, Ecchi Otaku Culture, Showbiz Studio Gokumi Pony Canyon Media Blasters"
BanG Dream! Movie: Episode of Roselia - I: Yakusoku,Music SANZIGEN
Slayers Gorgeous,"Adventure, Comedy, Fantasy, Supernatural J.C.Staff Kadokawa Shoten ADV Films"
Hokuto no Ken Movie,"Action, Drama, Sci-Fi Gore, Martial Arts, Super Power Toei Animation Streamline Pictures Discotek Media"
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,"Comedy, Romance School, Super Power SILVER LINK."
Kiniro no Corda: Secondo Passo,"Romance Music, Performing Arts, Reverse Harem, School Yumeta Company Koei"
Super Lovers OVA,"Boys Love, Comedy, Drama Studio Deen Kadokawa Shoten Funimation"
Moyashimon Returns,"Comedy, Gourmet, Supernatural School Telecom Animation Film, Shirogumi Aniplex, Dentsu, Kodansha, Fuji TV"
Meitantei Conan OVA 06: Kieta Daiya wo Oe! Conan & Heiji VS Kid!,"Comedy, Mystery Detective TMS Entertainment"
Rurouni Kenshin Special,"Action, Romance Historical, Samurai Studio Deen SME Visual Works, Fuji TV Media Blasters"
Kaibutsu Oujo,"Action, Comedy, Horror, Supernatural Vampire Madhouse Imagin, Lantis, Index, Universal Pictures Japan ADV Films, Sentai Filmworks"
Hoshikuzu Telepath,"Comedy, Supernatural CGDCT, School Studio Gokumi Movic, AT-X, Nippon Columbia, KlockWorx, Asmik Ace, Studio Mausu, Houbunsha, Hakuhodo DY Music & Pictures, BS NTV, San Blas Animation"
Final Fantasy VII: Advent Children - Venice Film Festival Footage,"Action, Drama, Fantasy, Sci-Fi Square Enix Visual Works Square Enix"
Muttsuri Dosukebe Tsuyu Gibo Shimai no Honshitsu Minuite Sex Sanmai,Hentai T-Rex Lune-Pictures
Fractale,"Adventure, Fantasy, Sci-Fi A-1 Pictures Fuji TV, TOHO, Asmik Ace, Sony Music Entertainment Funimation"
Princess Princess,"Comedy Crossdressing, School Studio Deen TV Asahi Media Blasters"
Soukyuu no Fafner: Dead Aggressor - Exodus,"Action, Drama, Sci-Fi Mecha, Military I.Gzwei Starchild Records, Mainichi Broadcasting System"
Bakuten Shoot Beyblade G Revolution,"Action, Adventure, Comedy, Sci-Fi Nippon Animation TV Tokyo, Yomiko Advertising, d-rights Nelvana, Discotek Media"
Mouryou no Hako,"Mystery, Supernatural, Suspense Detective, Historical, Psychological Madhouse VAP, Kadokawa Shoten, Nippon Television Network"
Murder Princess,"Action, Adventure, Fantasy Gore Bee Train Marvelous Entertainment Funimation"
Kyouran Kazoku Nikki,"Comedy, Sci-Fi Nomad Lantis"
Kamichu! Specials,"Slice of Life, Supernatural Iyashikei, Mythology, School Brain's Base Geneon Universal Entertainment Geneon Entertainment USA"
Video Girl Ai,"Comedy, Drama, Romance, Ecchi Love Polygon Production I.G Shueisha VIZ Media"
Sarusuberi: Miss Hokusai,"Award Winning, Drama, Supernatural Historical, Visual Arts Production I.G Sunrise, TV Tokyo, Bandai Visual, OLM, Asatsu DK, DandeLion Animation Studio, Trans Cosmos, Production GoodBook, Asahi Shimbun, Tokyo Theatres NYAV Post, GKIDS"
Mahoromatic: Motto Utsukushii Mono,"Comedy, Drama, Romance, Sci-Fi, Ecchi Military Gainax, Shaft Pioneer LDC Sentai Filmworks, Geneon Entertainment USA"
Saiyuuki Reload Blast,"Action, Adventure, Comedy, Drama, Supernatural Mythology Platinum Vision Pierrot, Dentsu, Frontier Works, Lantis, Media Factory, AT-X, Ichijinsha Funimation"
One Piece Film: Gold Episode 0 - 711 ver.,"Action, Adventure, Comedy, Fantasy Super Power Toei Animation"
Nerawareta Gakuen,"Romance, Sci-Fi School Sunrise Aniplex, Shochiku, Sony Music Entertainment, Bandai Namco Entertainment Funimation, NYAV Post"
Doraemon Movie 33: Nobita no Himitsu Dougu Museum,"Adventure, Comedy, Fantasy Shin-Ei Animation TV Asahi, Asatsu DK, TOHO"
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen","Action, Fantasy, Romance Military SILVER LINK. Pony Canyon, Kadokawa, Bit grooove promotion, A3 Funimation"
Plunderer,"Action, Fantasy, Romance, Ecchi Military Geek Toys Half H.P Studio, Nippon Columbia, 81 Produce, Docomo Anime Store, Kadokawa Media House, Kadokawa Funimation"
One Piece: Episode of Sorajima,"Action, Adventure, Fantasy Toei Animation Funimation"
Love Hina Final Selection,"Comedy, Romance, Ecchi Harem Xebec Bandai Entertainment"
Pokemon Movie 13: Genei no Hasha Zoroark,"Action, Adventure, Fantasy OLM Studio Jack VIZ Media, The Pokemon Company International"
Hataraku Maou-sama!!,"Comedy, Fantasy Mythology, Workplace Studio 3Hz Sotsu, Movic, KlockWorx, Tokyo MX, Hakuhodo DY Music & Pictures, Infinite, BS11, Kadokawa, Bandai Namco Music Live, Happinet Phantom Studios"
Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,"Action, Fantasy Martial Arts, Mythology Pierrot Movic, A-Line Central Park Media"
Meitantei Conan OVA 02: 16-nin no Yougisha,"Adventure, Comedy, Mystery Detective TMS Entertainment"
Uta no☆Prince-sama♪ Maji Love Revolutions,"Comedy, Romance Idols (Male), Music, Reverse Harem, School A-1 Pictures Showgate, King Records Sentai Filmworks"
Hunter x Hunter Pilot,"Action, Adventure, Fantasy Super Power Pierrot"
Chuukan Kanriroku Tonegawa,"Comedy, Drama Adult Cast, Parody, Psychological, Workplace Madhouse VAP, Half H.P Studio, Nippon Television Network, Nippon Television Music Sentai Filmworks"
Hyakka Ryouran: Samurai Girls,"Action, Comedy, Ecchi Harem, Samurai, School Arms Genco, Lantis, Media Factory, Movic, Hobby Japan, Showgate, Gigno Systems Sentai Filmworks"
Black Jack 21,"Action, Drama Medical Tezuka Productions Avex Entertainment, Yomiuri Telecasting"
Tamayura,"Slice of Life CGDCT, Iyashikei HAL Film Maker Shochiku, TYO Animations, flying DOG, BIGLOBE, RAY Nozomi Entertainment"
Strike Witches: Road to Berlin,"Action, Sci-Fi, Ecchi Military David Production Magic Capsule, Nippon Columbia, Docomo Anime Store, Sammy, Kadokawa Media House, DeNA, Kadokawa Funimation"
Gatchaman Crowds: Embrace,"Adventure, Sci-Fi Tatsunoko Production VAP"
Kidou Senshi Gundam Thunderbolt 2nd Season,"Action, Drama, Sci-Fi Mecha, Military, Space Sunrise"
Oroka na Tenshi wa Akuma to Odoru,"Comedy, Supernatural Mythology, Romantic Subtext, School Children's Playground Entertainment TV Tokyo, Pony Canyon, Movic, AT-X, Gaina, Docomo Anime Store, Crunchyroll, Kadokawa, Aoni Production, Nihon Keizai Koukokusha, ANLA"
